,precision,recall,f1-score,support
randomforestclassifier_0,0.613125,0.6874562018220042,0.6481665014866205,2854.0
randomforestclassifier_1,0.5682478218780251,0.4867330016583748,0.5243412237606073,2412.0
randomforestclassifier_accuracy,0.5955184200531712,0.5955184200531712,0.5955184200531712,0.5955184200531712
randomforestclassifier_macro avg,0.5906864109390126,0.5870946017401895,0.5862538626236139,5266.0
randomforestclassifier_weighted avg,0.5925697866254837,0.5955184200531712,0.5914504798620205,5266.0
