,precision,recall,f1-score,support
svc_0,0.4959349593495935,0.042747021723896286,0.07870967741935485,2854.0
svc_1,0.45577689243027886,0.9485903814262023,0.6157158234660925,2412.0
svc_accuracy,0.45765286745157613,0.45765286745157613,0.45765286745157613,0.45765286745157613
svc_macro avg,0.4758559258899362,0.49566870157504933,0.3472127504427237,5266.0
svc_weighted avg,0.4775412530432154,0.45765286745157613,0.3246760321980733,5266.0
