,precision,recall,f1-score,support
kneighborsclassifier_0,0.6148648648648649,0.6377014716187807,0.6260749914000687,2854.0
kneighborsclassifier_1,0.5516045099739809,0.527363184079602,0.5392115303094531,2412.0
kneighborsclassifier_accuracy,0.587162932016711,0.587162932016711,0.587162932016711,0.587162932016711
kneighborsclassifier_macro avg,0.583234687419423,0.5825323278491914,0.5826432608547609,5266.0
kneighborsclassifier_weighted avg,0.5858895560922078,0.587162932016711,0.5862886890547279,5266.0
