,precision,recall,f1-score,support
adaboostclassifier_0,0.5957820738137083,0.7126839523475823,0.6490108487555839,2854.0
adaboostclassifier_1,0.5572354211663066,0.42786069651741293,0.48405253283302063,2412.0
adaboostclassifier_accuracy,0.5822255981769844,0.5822255981769844,0.5822255981769844,0.5822255981769844
adaboostclassifier_macro avg,0.5765087474900075,0.5702723244324976,0.5665316907943023,5266.0
adaboostclassifier_weighted avg,0.5781264478764632,0.5822255981769844,0.5734545521347668,5266.0
